MATERIAL_NUMBER_1,MATERIAL_NUMBER_TEXT,UPPER_DESC
165043,"PIPE,3 1/2"" OD .188"" WT API5LX42,ERW","PIPE,3 1/2"" OD .188"" WT API5LX42,ERW"
165056,"PIPE,4 1/2"" OD .237"" WT API5LB,ERW,PEB,","PIPE,4 1/2"" OD .237"" WT API5LB,ERW,PEB,"
165103,"PIPE,22"" OD .281"" WT API5LX60,ERW,PEB","PIPE,22"" OD .281"" WT API5LX60,ERW,PEB"
165214,"PIPE,CT,30"" OD .375"" WT API5LX60,DSAW,PE","PIPE,CT,30"" OD .375"" WT API5LX60,DSAW,PE"
165800,"FLANGE,RF SLIP-ON, 3"",ANSI 600","FLANGE,RF SLIP-ON, 3"",ANSI 600"
165949,"VALVE,BALL,GROVE B-5 6"" ANSI 300# W.E.","VALVE,BALL,GROVE B-5 6"" ANSI 300# W.E."
167126,"VALVE,GAS,HONEYWELL #V48R2243","VALVE,GAS,HONEYWELL #V48R2243"
168179,"PIPE,18"" OD .312"" WT API5LB,SMLS,PE","PIPE,18"" OD .312"" WT API5LB,SMLS,PE"
168256,"NIPPLE,1"" X 4"",STD,SCW,BLK,","NIPPLE,1"" X 4"",STD,SCW,BLK,"
168603,"VALVE,BALL,8""X6""X8"",WKM FIG.370-21AH21,","VALVE,BALL,8""X6""X8"",WKM FIG.370-21AH21,"
168613,"VALVE,BALL,12"",ANSI 600,FExFE,FP,CAMERON","VALVE,BALL,12"",ANSI 600,FEXFE,FP,CAMERON"
169997,"PIPE,STL,FBC,6,.250W,ERW,17.02#/FT,X42","PIPE,STL,FBC,6,.250W,ERW,17.02#/FT,X42"
170033,"PIPE,STL,BLK,18,.250W,47.39#/FT,SRL","PIPE,STL,BLK,18,.250W,47.39#/FT,SRL"
170198,"NIPPLE,1-1/2 X 2-1/2,BLK,STD,BW,TBE","NIPPLE,1-1/2 X 2-1/2,BLK,STD,BW,TBE"
171684,"VALVE,PLUG,6,500#WP,FE,FP,D-501,RESUN","VALVE,PLUG,6,500#WP,FE,FP,D-501,RESUN"
177854,"PIPE,20"" OD .500"" WT API5LX56,ERW,PEB","PIPE,20"" OD .500"" WT API5LX56,ERW,PEB"
177948,"PIPE,24"" OD .250"" API5LX42,ERW,PEB","PIPE,24"" OD .250"" API5LX42,ERW,PEB"
178193,"FLANGE,RFWN,2"",ANSI 300,XH BORE","FLANGE,RFWN,2"",ANSI 300,XH BORE"
178266,"VALVE,BALL,1/2"",KF/HALE ,#5002-P12,2000#","VALVE,BALL,1/2"",KF/HALE ,#5002-P12,2000#"
179538,"PIPE,STL,GALV,2,.154W,SMLS,3.65#/FT,A106","PIPE,STL,GALV,2,.154W,SMLS,3.65#/FT,A106"
179595,"PIPE,STL,FBC,2,.218 WALL,5.02#/FT ,X42","PIPE,STL,FBC,2,.218 WALL,5.02#/FT ,X42"
179884,"NIPPLE,1/2 X 3,BLK,XH,SMLS,TBE,SCH-80","NIPPLE,1/2 X 3,BLK,XH,SMLS,TBE,SCH-80"
180305,"ELL,90,WELD,8,LR,.250W (NOT STD),S20","ELL,90,WELD,8,LR,.250W (NOT STD),S20"
180321,"ELL,90,WELD,RED,10 X 8,STD,LR","ELL,90,WELD,RED,10 X 8,STD,LR"
181465,"VALVE,PLUG,3,200#WP,FE,143,ROCKWELL,MI","VALVE,PLUG,3,200#WP,FE,143,ROCKWELL,MI"
181531,"VALVE,BALL,4,500#WP,WE,RP,4BMW500RP,BALL","VALVE,BALL,4,500#WP,WE,RP,4BMW500RP,BALL"
181606,"VALVE,GATE,2,300A,W X F,FP,1F7WL,KEROTES","VALVE,GATE,2,300A,W X F,FP,1F7WL,KEROTES"
181663,"VALVE,FLOWGRID,2X1,DUAL-PORT,150#,MOONEY","VALVE,FLOWGRID,2X1,DUAL-PORT,150#,MOONEY"
181680,"VALVE,RELIEF,2,MOONEY,#FG-5,ANSI 150,100","VALVE,RELIEF,2,MOONEY,#FG-5,ANSI 150,100"
181728,"VALVE,LOCKING DEVICE,KEROTEST,1""-4""","VALVE,LOCKING DEVICE,KEROTEST,1""-4"""
183757,"VALVE,BALL,6,300A,WE,FP,DELTA TYPE 55","VALVE,BALL,6,300A,WE,FP,DELTA TYPE 55"
228651,"VALVE,CONTROL,2,300#,RF,FISHER,#657-EZ","VALVE,CONTROL,2,300#,RF,FISHER,#657-EZ"
